Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS- User auth,Chrome 73.0.3683.86,user authentication proccess including creating a user upto signing in to masoko.com website,,2019-05-09 11:53:48,2019-05-09 11:55:40,1m - 52.407s,PASSED
,,,,,,,
Test Cases/User Authentication/TC-Customer registration,Chrome 73.0.3683.86,registering a new customer,,2019-05-09 11:53:48,2019-05-09 11:54:36,47.374s,PASSED
openBrowser(masoko),Chrome 73.0.3683.86,,,2019-05-09 11:53:49,2019-05-09 11:54:21,32.388s,PASSED
"click(findTestObject(""Home Page/Register""))",Chrome 73.0.3683.86,,,2019-05-09 11:54:21,2019-05-09 11:54:33,11.354s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_firstname""), findTestData(""Masoko data/TD -Masoko registration"").getValue(1, 1))",Chrome 73.0.3683.86,,,2019-05-09 11:54:33,2019-05-09 11:54:33,0.285s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_lastname""), findTestData(""Masoko data/TD -Masoko registration"").getValue(2, 1))",Chrome 73.0.3683.86,,,2019-05-09 11:54:33,2019-05-09 11:54:33,0.267s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_mobile""), findTestData(""Masoko data/TD -Masoko registration"").getValue(3, 1))",Chrome 73.0.3683.86,,,2019-05-09 11:54:33,2019-05-09 11:54:34,0.406s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_email""), findTestData(""Masoko data/TD -Masoko registration"").getValue(4, 1))",Chrome 73.0.3683.86,,,2019-05-09 11:54:34,2019-05-09 11:54:34,0.251s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_password""), findTestData(""Masoko data/TD -Masoko registration"").getValue(5, 1))",Chrome 73.0.3683.86,,,2019-05-09 11:54:34,2019-05-09 11:54:34,0.241s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_password_confirmation""), findTestData(""Masoko data/TD -Masoko registration"").getValue(6, 1))",Chrome 73.0.3683.86,,,2019-05-09 11:54:34,2019-05-09 11:54:34,0.263s,PASSED
"click(findTestObject(""Create New Customer Account Page/button_Create an Account""))",Chrome 73.0.3683.86,,,2019-05-09 11:54:34,2019-05-09 11:54:35,0.438s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,,2019-05-09 11:54:35,2019-05-09 11:54:36,0.921s,PASSED
,,,,,,,
Test Cases/User Authentication/TC-Login,Chrome 73.0.3683.86,Logging in a created user,,2019-05-09 11:54:36,2019-05-09 11:55:39,1m - 3.026s,PASSED
openBrowser(masoko),Chrome 73.0.3683.86,,,2019-05-09 11:54:36,2019-05-09 11:54:59,23.234s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,,2019-05-09 11:54:59,2019-05-09 11:55:00,1.181s,PASSED
"click(findTestObject(""Home Page/Sign In ""))",Chrome 73.0.3683.86,,,2019-05-09 11:55:00,2019-05-09 11:55:10,9.984s,PASSED
"setText(findTestObject(""Customer Login Page/input_username""), findTestData(""Masoko data/TD- Masoko login"").getValue(1, 1))",Chrome 73.0.3683.86,,,2019-05-09 11:55:10,2019-05-09 11:55:11,0.241s,PASSED
"setText(findTestObject(""Customer Login Page/input_password""), findTestData(""Masoko data/TD- Masoko login"").getValue(2, 1))",Chrome 73.0.3683.86,,,2019-05-09 11:55:11,2019-05-09 11:55:11,0.243s,PASSED
"click(findTestObject(""Customer Login Page/button_Sign In""))",Chrome 73.0.3683.86,,,2019-05-09 11:55:11,2019-05-09 11:55:39,27.915s,PASSED
