Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-User auth (negative scenarios),Chrome 73.0.3683.86,execution of negative scenarios during user authentication process,,2019-05-09 12:05:55,2019-05-09 12:08:52,2m - 56.817s,PASSED
,,,,,,,
Test Cases/User Authentication/TC-Customer registration validation(phone is reuqired),Chrome 73.0.3683.86,verifying that a customer phone number is required during registration process in masoko.com,,2019-05-09 12:05:56,2019-05-09 12:06:52,56.320s,PASSED
openBrowser(masoko),Chrome 73.0.3683.86,,,2019-05-09 12:05:56,2019-05-09 12:06:39,43.324s,PASSED
"click(findTestObject(""Home Page/Register""))",Chrome 73.0.3683.86,,,2019-05-09 12:06:39,2019-05-09 12:06:48,8.915s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_firstname""), findTestData(""Masoko data/TD -Masoko registration"").getValue(1, 1))",Chrome 73.0.3683.86,,,2019-05-09 12:06:48,2019-05-09 12:06:49,0.313s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_lastname""), findTestData(""Masoko data/TD -Masoko registration"").getValue(2, 1))",Chrome 73.0.3683.86,,,2019-05-09 12:06:49,2019-05-09 12:06:49,0.303s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_mobile""), """")",Chrome 73.0.3683.86,,,2019-05-09 12:06:49,2019-05-09 12:06:49,0.205s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_email""), findTestData(""Masoko data/TD -Masoko registration"").getValue(4, 1))",Chrome 73.0.3683.86,,,2019-05-09 12:06:49,2019-05-09 12:06:49,0.283s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_password""), findTestData(""Masoko data/TD -Masoko registration"").getValue(5, 1))",Chrome 73.0.3683.86,,,2019-05-09 12:06:49,2019-05-09 12:06:50,0.317s,PASSED
"setText(findTestObject(""Create New Customer Account Page/input_password_confirmation""), findTestData(""Masoko data/TD -Masoko registration"").getValue(6, 1))",Chrome 73.0.3683.86,,,2019-05-09 12:06:50,2019-05-09 12:06:50,0.206s,PASSED
"click(findTestObject(""Create New Customer Account Page/button_Create an Account""))",Chrome 73.0.3683.86,,,2019-05-09 12:06:50,2019-05-09 12:06:51,0.918s,PASSED
"verifyElementPresent(findTestObject(""Create New Customer Account Page/empty_phone_field error""), 2)",Chrome 73.0.3683.86,,,2019-05-09 12:06:51,2019-05-09 12:06:51,0.078s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,,2019-05-09 12:06:51,2019-05-09 12:06:52,1.009s,PASSED
,,,,,,,
Test Cases/User Authentication/TC- Login validation(wrong username or password),Chrome 73.0.3683.86,testing  for validation of user login using wrong email or pasword,,2019-05-09 12:06:52,2019-05-09 12:07:56,1m - 3.978s,PASSED
openBrowser(masoko),Chrome 73.0.3683.86,,,2019-05-09 12:06:52,2019-05-09 12:07:32,39.911s,PASSED
"click(findTestObject(""Home Page/Sign In ""))",Chrome 73.0.3683.86,,,2019-05-09 12:07:32,2019-05-09 12:07:46,13.538s,PASSED
"setText(findTestObject(""Customer Login Page/input_username""), findTestData(""Masoko data/TD- Masoko login"").getValue(1, 3))",Chrome 73.0.3683.86,,,2019-05-09 12:07:46,2019-05-09 12:07:46,0.222s,PASSED
"setText(findTestObject(""Customer Login Page/input_password""), findTestData(""Masoko data/TD- Masoko login"").getValue(2, 3))",Chrome 73.0.3683.86,,,2019-05-09 12:07:46,2019-05-09 12:07:46,0.192s,PASSED
"click(findTestObject(""Customer Login Page/button_Sign In""))",Chrome 73.0.3683.86,,,2019-05-09 12:07:46,2019-05-09 12:07:55,8.816s,PASSED
"verifyElementPresent(findTestObject(""Customer Login Page/error message""), 2)",Chrome 73.0.3683.86,,,2019-05-09 12:07:55,2019-05-09 12:07:55,0.009s,NOT_RUN
closeBrowser(),Chrome 73.0.3683.86,,,2019-05-09 12:07:55,2019-05-09 12:07:56,1.038s,PASSED
,,,,,,,
Test Cases/User Authentication/TC-Login validation(empty fields),Chrome 73.0.3683.86,"testing for empty fields while logging in
",,2019-05-09 12:07:56,2019-05-09 12:08:52,56.090s,PASSED
openBrowser(masoko),Chrome 73.0.3683.86,,,2019-05-09 12:07:56,2019-05-09 12:08:40,43.700s,PASSED
"click(findTestObject(""Home Page/Sign In ""))",Chrome 73.0.3683.86,,,2019-05-09 12:08:40,2019-05-09 12:08:51,10.625s,PASSED
"setText(findTestObject(""Customer Login Page/input_username""), findTestData(""Masoko data/TD- Masoko login"").getValue(1, 1))",Chrome 73.0.3683.86,,,2019-05-09 12:08:51,2019-05-09 12:08:51,0.228s,PASSED
"setText(findTestObject(""Customer Login Page/input_password""), """")",Chrome 73.0.3683.86,,,2019-05-09 12:08:51,2019-05-09 12:08:51,0.105s,PASSED
"click(findTestObject(""Customer Login Page/button_Sign In""))",Chrome 73.0.3683.86,,,2019-05-09 12:08:51,2019-05-09 12:08:51,0.172s,PASSED
"verifyElementPresent(findTestObject(""Customer Login Page/empty_field error""), 0)",Chrome 73.0.3683.86,,,2019-05-09 12:08:51,2019-05-09 12:08:51,0.039s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,,2019-05-09 12:08:51,2019-05-09 12:08:52,0.986s,PASSED
